date,open,high,low,close,volume
2024-04-22,76.04,76.55,75.93,76.17,92469
2024-04-23,76.62,76.82,76.32,76.74,83738
2024-04-24,77.1,77.13,76.66,76.77,131408
2024-04-25,76.16,76.25,75.46,75.66,146534
2024-04-26,76.63,77.1,76.44,76.95,105918
2024-04-29,76.94,77.68,75.54,76.71,72156
2024-04-30,76.93,77.22,76.19,76.43,74252
2024-05-01,76.02,76.19,75.41,75.81,18853
2024-05-02,76.09,77.07,75.7,76.1,221816
2024-05-03,76.49,77.3,74.0,76.94,138477
2024-05-07,77.95,79.08,74.0,78.1,78522
2024-05-08,78.29,78.58,77.98,78.24,56137
2024-05-09,78.22,78.51,78.0868310546875,78.49,147006
2024-05-10,78.61,78.88,78.6,78.69,44314
2024-05-13,78.74,78.85,78.48,78.51,38137
2024-05-14,78.47,79.02,78.26,78.42,53390
2024-05-15,78.73,79.0,78.47,78.88,33528
2024-05-16,79.15,79.27,79.08,79.19,46343
2024-05-17,78.95,79.09,78.6974609375,78.73,27105
2024-05-20,78.92,79.26,78.8,79.08,36014
2024-05-21,78.84,78.87,78.61,78.8,78369
2024-05-22,78.58,78.77,78.5,78.65,46716
2024-05-23,78.92,79.5,78.43,78.67,84858
2024-05-24,78.17,78.48,78.05,78.41,43539
2024-05-28,78.44,78.61,78.08,78.21,39012
2024-05-29,78.02,78.11,77.62,77.88,47607
2024-05-30,77.62,77.97,77.17,77.65,26825
2024-05-31,77.65,77.93,77.19,77.32,54997
2024-06-03,78.42,78.51,77.75,77.77,54969
2024-06-04,77.77,77.95,77.5,77.58,53268
2024-06-05,78.11,78.55,77.97,78.51,38776
2024-06-06,78.72,78.99,78.64,78.79,58216
2024-06-07,78.89,79.19,78.52,79.04,35180
2024-06-10,78.77,79.01,78.63203125,78.88,29995
2024-06-11,79.03,79.14,78.34,78.7,22386
2024-06-12,78.94,80.0,78.76,79.28,94601
2024-06-13,79.43,79.48,78.97,79.09,35402
2024-06-14,79.4,79.478671875,78.88,79.34,74761
2024-06-17,79.58,79.66,79.34,79.5,62948
2024-06-18,79.95,80.09,79.81,80.05,44160
2024-06-19,80.05,80.15,79.91,79.98,25632
2024-06-20,80.24,80.53,80.22,80.44,56935
2024-06-21,80.32,80.61,79.99,80.17,106364
2024-06-24,80.16,80.4639013671875,80.01,80.26,58857
2024-06-25,80.04,80.16,79.7,80.14,71407
2024-06-26,80.35,80.55,80.04,80.24,46580
2024-06-27,80.28,80.56,80.21,80.25,70964
2024-06-28,80.65,81.03,80.54,80.72,94368
2024-07-01,80.41,80.55,79.97744140625,80.31,70885
2024-07-02,80.31,80.33,79.8930810546875,80.27,426088
2024-07-03,80.61,80.69,80.3,80.46,137168
2024-07-04,80.72,80.91,80.66,80.73,20900
2024-07-05,80.82,80.91,80.4,80.6,44171
2024-07-08,80.61,80.76,80.58,80.66,66436
2024-07-09,80.87,81.03,80.74,80.86,57882
2024-07-10,80.93,81.08,80.83,80.96,68832
2024-07-11,81.32,81.33,80.65,80.67,139868
2024-07-12,80.75,80.93,80.25,80.9,120623
2024-07-15,80.88,81.13,80.74,80.97,55205
2024-07-16,80.85,81.23380859375,80.6,81.06,70082
2024-07-17,80.81,80.82,80.05,80.26,67764
2024-07-18,80.54,80.65,79.8397021484375,79.855,55588
2024-07-19,79.85,80.03,79.53,79.53,72341
2024-07-22,79.65,80.23,79.57,79.86,56502
2024-07-23,80.15,80.49876953125,79.960498046875,80.44,49369
2024-07-24,79.76,79.77,78.93,79.01,46001
2024-07-25,78.66,79.01,78.08,78.855,109446
2024-07-26,78.73,79.31,78.68,79.13,108824
2024-07-29,79.63,79.88,79.09,79.195,73166
2024-07-30,79.36,79.75,79.05,79.15,96790
2024-07-31,79.96,80.43,79.8748193359375,80.42,87969
2024-08-01,80.86,80.92,79.72,79.78,71717
2024-08-02,78.86,79.15,77.08,77.3,125194
2024-08-05,75.72,76.382001953125,74.16,76.13,252704
2024-08-06,76.58,77.18,76.118662109375,76.92,90216
2024-08-07,77.31,78.15,77.03,77.89,256354
2024-08-08,76.78,77.8,76.3293310546875,77.7,74893
2024-08-09,77.79,78.2,77.63,77.87,85046
2024-08-12,78.17,78.36,77.81,78.05,119384
2024-08-13,78.22,78.64,78.03,78.62,36191
2024-08-14,79.06,79.22,78.68,79.22,63185
2024-08-15,79.42,80.3,79.21,80.21,106250
2024-08-16,80.52,80.55,79.6,80.13,49811
2024-08-19,80.05,80.4,79.88,80.35,32054
2024-08-20,80.67,80.74,80.12,80.22,78818
2024-08-21,80.38,80.53,80.08,80.23,76453
2024-08-22,80.31,80.51,80.06,80.06,74093
2024-08-23,79.86,80.24,79.55,79.9,96581
2024-08-27,79.9,80.0,77.84,79.62,55529
2024-08-28,79.84,80.0,78.0,79.5,59789
2024-08-29,79.46,80.43,79.42,80.3,50626
2024-08-30,80.03,80.47,79.96,80.07,42518
2024-09-02,80.48,82.49,80.23,80.56,148077
2024-09-03,80.66,82.72,78.65,79.84,1149098
2024-09-04,78.67,79.24,77.56,78.885,41070
2024-09-05,78.67,79.0,76.59,78.35,52819
2024-09-06,78.17,78.62,77.38,77.38,28936
2024-09-09,77.98,78.49,77.84,78.36,100047
2024-09-10,78.24,78.73,77.93,78.49,61150
