date,open,high,low,close,volume
2026-02-04 08:00:00,97.38150390625,97.41,97.12,97.17,0
2026-02-04 09:00:00,97.14,97.32,97.04,97.235380859375,6536
2026-02-04 10:00:00,97.23,97.49,97.19,97.38,7610
2026-02-04 11:00:00,97.36,97.6,97.31,97.57,6813
2026-02-04 12:00:00,97.53,97.58,97.33,97.39,1378
2026-02-04 13:00:00,97.54,97.57,97.3,97.39,4356
2026-02-04 14:00:00,97.53,97.64,97.31,97.32,19566
2026-02-04 15:00:00,97.28,97.65,97.17,97.52,10156
2026-02-04 16:00:00,97.48,97.55,97.31,97.47,5477
2026-02-05 08:00:00,97.43,97.66,97.36,97.41,0
2026-02-05 09:00:00,97.43,97.75,97.37,97.63,43630
2026-02-05 10:00:00,97.64,97.77,97.48,97.55,26303
2026-02-05 11:00:00,97.62,97.65,97.43,97.49,20572
2026-02-05 12:00:00,97.57,97.93,96.9701953125,97.11,12994
2026-02-05 13:00:00,97.12,97.85009765625,96.94,96.94,2386
2026-02-05 14:00:00,96.99,97.5,96.75,97.24,13346
2026-02-05 15:00:00,97.19,97.19,96.63,96.81,3308
2026-02-05 16:00:00,96.89,97.32,96.69,97.09,10105
2026-02-06 08:00:00,96.5483984375,96.72,96.39,96.7,0
2026-02-06 09:00:00,96.67,97.07,96.52,96.99,6454
2026-02-06 10:00:00,96.985498046875,97.12,96.56,97.12,2023
2026-02-06 11:00:00,97.11,97.32,97.1,97.3,2622
2026-02-06 12:00:00,97.24,97.27,97.02,97.040400390625,4686
2026-02-06 13:00:00,97.05,97.26,97.01,97.18,788
2026-02-06 14:00:00,97.103837890625,97.67,97.09,97.17,10273
2026-02-06 15:00:00,97.44599609375,97.74,97.3,97.55,5215
2026-02-06 16:00:00,97.56,97.83,97.55,97.73,27469
2026-02-09 08:00:00,98.41,98.6,98.33,98.45,0
2026-02-09 09:00:00,98.56,98.6,98.3,98.3,3265
2026-02-09 10:00:00,98.33,98.44,97.99,98.14,7541
2026-02-09 11:00:00,98.14,98.21,97.9,97.95,19783
2026-02-09 12:00:00,97.946337890625,98.04,97.83,97.93,4907
2026-02-09 13:00:00,97.97,98.11,97.93,98.06,6804
2026-02-09 14:00:00,97.95,98.32,97.89,98.2,7769
2026-02-09 15:00:00,98.16490234375,98.46,97.95,98.42,14513
2026-02-09 16:00:00,98.46,98.57,97.96,98.57,1448
2026-02-10 08:00:00,98.62,98.68,98.51,98.66,0
2026-02-10 09:00:00,98.69,98.88,98.55,98.78,2629
2026-02-10 10:00:00,98.74,98.83,98.7,98.78,7422
2026-02-10 11:00:00,98.78,98.85,98.74,98.8,2413
2026-02-10 12:00:00,98.84,98.86,98.45,98.45,8124
2026-02-10 13:00:00,98.46,98.62,98.4,98.59,5668
2026-02-10 14:00:00,98.62,98.91,98.56,98.91,2343
2026-02-10 15:00:00,98.88,99.08,98.62,98.86,4165
2026-02-10 16:00:00,98.82,98.91,98.76,98.77,3801
2026-02-11 08:00:00,98.84,99.03,98.55,98.57,0
2026-02-11 09:00:00,98.53,98.66,98.45,98.49,2198
2026-02-11 10:00:00,98.44,98.47,98.29,98.4,13312
2026-02-11 11:00:00,98.43,98.6,98.42,98.52,3426
2026-02-11 12:00:00,98.52,98.66,98.47,98.62,3008
2026-02-11 13:00:00,98.6,99.32,98.58,99.09,10913
2026-02-11 14:00:00,99.09,99.3,98.87,98.87,42945
2026-02-11 15:00:00,98.86,99.27,98.15,98.78,6805
2026-02-11 16:00:00,98.73,98.84,98.68,98.68,2948
2026-02-12 08:00:00,99.17,99.25,99.03,99.14,0
2026-02-12 09:00:00,99.14,99.14,99.01,99.0733984375,3586
2026-02-12 10:00:00,99.0733984375,99.13,99.01,99.11009765625,306
2026-02-12 11:00:00,99.11009765625,99.11009765625,99.01,99.06,4826
2026-02-12 12:00:00,99.04,99.17,98.97,99.13,11693
2026-02-12 13:00:00,99.1,99.13,99.0,99.11,2555
2026-02-12 14:00:00,99.07,99.09,98.68,98.68,15440
2026-02-12 15:00:00,98.62,98.95,98.25,98.25,4785
2026-02-12 16:00:00,98.26,98.86,97.75,97.75,2329
2026-02-13 08:00:00,97.464560546875,97.52,97.22,97.44,0
2026-02-13 09:00:00,97.45,97.57,97.35,97.46,20200
2026-02-13 10:00:00,97.48,97.57,97.34,97.34,16768
2026-02-13 11:00:00,97.37,97.43,97.19,97.43,56038
2026-02-13 12:00:00,97.44,97.47,97.31,97.4,55874
2026-02-13 13:00:00,97.4,97.61,97.2,97.51521484375,40456
2026-02-13 14:00:00,97.56,97.6,97.02,97.265986328125,12794
2026-02-13 15:00:00,97.271962890625,97.86,97.271962890625,97.73,12343
2026-02-13 16:00:00,97.7875,97.9,97.61,97.74,11852
2026-02-16 08:00:00,97.6,97.69,97.5,97.67,0
2026-02-16 09:00:00,97.61900390625,97.78,97.51,97.75,4527
2026-02-16 10:00:00,97.64,97.75,97.6,97.61,4522
2026-02-16 11:00:00,97.64,97.78,97.56,97.63,1486
2026-02-16 12:00:00,97.61,97.7,97.59,97.64,7066
2026-02-16 13:00:00,97.654619140625,97.77,97.59,97.71,2508
2026-02-16 14:00:00,97.66,97.7,97.35,97.49,1704
2026-02-16 15:00:00,97.514501953125,97.56,97.32,97.36,4361
2026-02-16 16:00:00,97.35,97.49,97.3,97.46,1774
2026-02-17 08:00:00,97.64,97.83,97.5,97.55,0
2026-02-17 09:00:00,97.58,97.66,97.5,97.655888671875,5264
2026-02-17 10:00:00,97.75,97.8,97.35,97.4,7626
2026-02-17 11:00:00,97.4,97.75353515625,97.33,97.63,11139
2026-02-17 12:00:00,97.7,97.74,97.56,97.63,4609
2026-02-17 13:00:00,97.635927734375,98.02,97.45,97.86,7048
2026-02-17 14:00:00,97.9,98.24,97.38,97.57,18922
