date,open,high,low,close,volume
2016-05-02,28.245,28.43429931640625,27.97239990234375,28.255,198449
2016-05-09,28.44949951171875,28.69,28.29949951171875,28.605,382128
2016-05-16,28.47,28.71544921875,27.733798828125,28.235,470961
2016-05-23,28.19,28.59,28.08429931640625,28.6,359652
2016-05-30,28.6,29.09,28.6,28.765,649938
2016-06-06,29.22,29.22,28.92,29.025,261105
2016-06-13,28.99,29.2,28.6,28.555,334297
2016-06-20,28.51,29.9,28.2843994140625,29.755,706388
2016-06-27,29.74,31.4152001953125,29.71,31.345,1030483
2016-07-04,31.45,32.14,31.21,32.145,746928
2016-07-11,32.38,32.53679931640625,31.68,32.195,931057
2016-07-18,32.21,32.65,32.11320068359375,32.625,254890
2016-07-25,32.56,32.7652001953125,32.19919921875,32.425,985206
2016-08-01,32.67,33.01,31.85,32.99,533581
2016-08-08,33.11,33.65,33.0152001953125,33.66,1214518
2016-08-15,33.75,33.94,32.99508056640625,33.235,152277
2016-08-22,33.25,33.28,32.7647998046875,33.025,371035
2016-08-29,33.025,33.2252001953125,32.5047998046875,32.795,199168
2016-09-05,32.72,32.9414501953125,32.51,32.6,278642
2016-09-12,32.17,32.57,31.9210107421875,32.49,144215
2016-09-19,32.78,33.6647998046875,32.76672119140625,33.61,174523
2016-09-26,33.43,33.53360107421875,33.07,33.395,400354
2016-10-03,33.62,35.16,33.61,34.665,332145
2016-10-10,34.85,35.26,34.61320068359375,35.045,403718
2016-10-17,34.9,35.14719970703125,34.7481591796875,35.035,238791
2016-10-24,35.17,35.54,34.87261962890625,35.19,272681
2016-10-31,35.04,35.09760009765625,33.38,33.53,625512
2016-11-07,34.06,34.98,31.8014990234375,33.895,781369
2016-11-14,34.35,34.83669921875,34.04090087890625,34.8,327785
2016-11-21,34.81,35.028798828125,34.43219970703125,34.81,156717
2016-11-28,34.74,34.95,34.0251708984375,34.065,435890
2016-12-05,34.06,35.34,33.90760009765625,35.3,165053
2016-12-12,35.3,35.86,35.05280029296875,35.545,364053
2016-12-19,35.58,36.279599609375,35.55,36.2,1348591
2016-12-26,36.2,36.4389990234375,36.0539990234375,36.07,78622
2017-01-02,36.07,36.55,36.07,36.56,328909
2017-01-09,36.98,37.28,36.56,37.12,283788
2017-01-16,37.46,37.46,36.37080078125,36.565,304491
2017-01-23,36.13,36.40580078125,35.97,36.355,430943
2017-01-30,36.22,36.56,35.63300048828125,36.535,150508
2017-02-06,36.55,36.82780029296875,36.1981005859375,36.705,368240
2017-02-13,36.71,37.33,36.69360107421875,37.27,202371
2017-02-20,37.44,37.50760009765625,36.922099609375,37.2,828389
2017-02-27,37.57,38.27800048828125,37.3181298828125,38.15,333932
2017-03-06,38.04,38.544150390625,37.99199951171875,38.46,213671
2017-03-13,38.28,38.681201171875,38.0860009765625,38.14,166486
2017-03-20,38.0,38.2360009765625,37.22,37.525,484981
2017-03-27,37.1,37.96,36.87239990234375,37.625,639573
2017-04-03,37.74,37.84760009765625,37.3372998046875,37.78,895096
2017-04-10,37.8,37.9389111328125,37.162109375,37.325,312674
2017-04-17,37.325,37.325,36.30134033203125,36.625,109505
2017-04-24,37.15,37.36868896484375,36.8672412109375,36.9,431246
2017-05-01,36.9,37.28719970703125,36.9,37.155,201442
2017-05-08,37.2,37.4185009765625,37.02219970703125,37.395,1909871
2017-05-15,37.33,37.71760009765625,36.336279296875,37.085,435765
2017-05-22,37.25,38.11169921875,37.09968994140625,38.115,1557602
2017-05-29,38.115,38.3681103515625,37.778798828125,38.235,429573
2017-06-05,38.27,38.79,37.6210009765625,38.675,637998
2017-06-12,38.48,38.77,38.18,38.305,217496
2017-06-19,38.5,39.02,38.49,38.595,138385
2017-06-26,38.65,38.75,37.68,37.645,226926
2017-07-03,37.8,38.04639892578125,37.4043994140625,37.91,399131
2017-07-10,37.97,38.3552001953125,37.91382080078125,37.935,199684
2017-07-17,38.08,38.69639892578125,37.86,38.54,472243
2017-07-24,38.48,38.57594970703125,38.1,38.135,5205613
2017-07-31,38.25,38.62,37.93405029296875,38.605,280763
2017-08-07,38.64,38.92594970703125,38.01,38.11,196068
2017-08-14,38.4,38.9756494140625,38.2285009765625,38.515,387421
2017-08-21,38.31,38.897099609375,38.177099609375,38.685,221820
2017-08-28,38.685,38.99,37.9,38.82,172765
2017-09-04,38.74,38.897099609375,38.102900390625,38.205,434088
2017-09-11,38.33,38.81070068359375,37.387099609375,37.485,1102624
2017-09-18,37.63,37.9256494140625,37.60699951171875,37.775,421309
2017-09-25,37.73,38.3356494140625,37.6356494140625,38.25,970353
2017-10-02,38.55,39.61,38.40550048828125,39.595,202100
2017-10-09,39.49,39.53,39.06550048828125,39.2,128654
2017-10-16,39.2,39.83,39.1543505859375,39.565,706577
2017-10-23,39.69,39.8735302734375,39.19659912109375,39.8,249096
2017-10-30,39.68,40.22,39.44,40.145,1026899
